1ers	1er	s
1re	1er	e
1res	1er	e	s
1ères	1ère	s
276	27	76
2CVs	2CV	s
AFMs	AFM	s
ASBLs	ASBL	s
ATPase	ATP	ase
Aalandaise	Aalandais	e
Aalandaises	Aalandaise	s
Aastais	Aast	ais
Abainvillois	Abainville	ois
Abancourtois	Abancourt	ois
Abathudois	Labathude	ois
Abatinois	Abitain	ois
Abatutois	Labatut	ois
Abbarois	Abbaretz	ois
Abbecourtois	Abbecourt	ois
Abbenanais	Abbenans	ais
Abbevillien	Abbeville	ien
Abbevillois	Abbeville	ois
Abbevilloise	Abbeville	ois	e
Abbevilloises	Abbevilloise	s
Abbécourtois	Abbécourt	ois
Abeilhanais	Abeilhan	ais
Abel-François	Abel	François
Abelcourtois	Abelcourt	ois
Abelin	Abel	in
Abeline	Abel	ine
Abengourois	Abengourou	ois
Aberdonienne	Aberdonien	e
Aberdoniennes	Aberdonienne	s
Aberdoniens	Aberdonien	s
Abergementais	L’Abergement-de-Cuisery	ais
Abergementier	Abergement-le-Petit	ier
Abergeois	Abergement-la-Ronce	ois
Abergeur	Labergement-Sainte-Marie	eur
Abidjanais	Abidjan	ais
Abidjanaise	Abidjan	ais	e
Abidjanaises	Abidjan	ais	s
Abillois	Abilly	ois
Abitibien	Abitibi	en
Abitibienne	Abitibi	en	e
Abitibiennes	Abitibienne	s
Abitibiens	Abitibi	en	s
Abkhazes	Abkhaze	s
Abkhazien	Abkhazie	en
Abkhazienne	Abkhazie	en	e
Abkhaziennes	Abkhazienne	s
Abkhaziens	Abkhazie	en	s
Ablonais	Ablon	ais
Ablonnais	Ablon	ais
Aboméenne	Aboméen	e
Aboméennes	Aboméenne	s
Aboméens	Aboméen	s
Aborigènes	Aborigène	s
Abribus	abri	bus
Abruzzais	Abruzzes	ais
Abruzzaise	Abruzzes	ais	e
Abruzzaises	Abruzzes	aise	s
Abénaquise	Abénaquis	e
Abénaquises	Abénaquise	s
Acadiane	Acadie	ane
Acadien	Acadie	en
Acadienne	Acadie	en	e
Acadiennes	Acadienne	s
Acadiens	Acadie	en	s
Acarnanien	Acarnanie	en
Acarnanienne	Acarnanie	en
Accréen	Accra	ien
Actonien	Acton	ien
Actonienne	Acton	ien
Actonnien	Acton	ien
Actonnienne	Acton	ien
Actonois	Acton	ois
Actonoise	Acton	ois
Actonvalois	Acton Vale	ois
Actonvaloise	Acton Vale	ois
Adainvillois	Adainville	ois
Adamois	Adam	ois
Addis-Abebien	Addis-Abeba	ien
Addis-Abebienne	Addis-Abeba	ien
Addis-Abébien	Addis-Abeba	ien
Addis-Abébienne	Addis-Abeba	ien
Addissien	Addis-Abeba	ien
Addissienne	Addis-Abeba	ien
Addissois	Addis-Abeba	ois
Addissoise	Addis-Abeba	ois
Adeline	Adèle	ine
Adellois	Adèle	ois
Adelloise	Adèle	ois
Adelois	Adèle	ois
Adeloise	Adèle	ois
Adilly	Adel	y
Adillysien	Adel	y	ien
Adinkerquois	Adinkerque	ois
Adissanais	Adissan	ais
Adolphin	Adolphe	in
Adolphine	Adolphe	in
Adonnais	Adon	ais
Adriaud	Adriers	aud
Adrienne	Adrien	e
Adriennois	Adrien	ois
Adriennoise	Adrien	ois
Adstockois	Adstock	ois
Adstockoise	Adstock	ois
Adélinois	Adèle	ine	ois
Adélinoise	Adèle	ine	ois
Adélois	Adèle	ois
Adéloise	Adèle	ois
Afayen	Afa	ien
Affieucois	Affieux	ois
Affousien	Affoux	ien
