अँगरखा	अङ्ग	रक्ष
अंकगणित	अंक	गणित
अंगदान	अंग	दान
अंगमर्दन	अंग	मर्दन
अंगहीन	अंग	हीन
अंगोट	अङ्ग	वर्त्म
अंग्रेज़ियत	अंग्रेज़	इयत
अंतर करना	अंतर	करना
अंतरराष्ट्रीयता	अंतर	राष्ट्रीयता
अंतर्राष्ट्रीय	अंतर्	राष्ट्रीय
अंधापन	अंधा#Adjective	पन
अंशकालिक	अंश	कालिक
अकर्म	अ	कर्म
अकर्मक	अ	कर्मक
अक़्लमंदी	अक़्लमंद	ई
अकारण	अ	कारण
अकाली	अकाल	ई
अखरोटी	अखरोट	ई
अख़बारवाला	अख़बार	वाला
अखिलेश	अखिल	ईश
अगरबत्ती	अगर	बत्ती
अगला-पिछला	अगला	पिछला
अग्निपरीक्षा	अग्नि	परीक्षा
अग्निशमन	अग्नि	शमन
अग्निशस्त्र	अग्नि	शस्त्र
अग्निशामक	अग्नि	शामक
अग्न्याशय	अग्नि	आशय
अग्रिम कर	अग्रिम	कर
अच्छा-ख़ासा	अच्छा	ख़ास
अच्छाई	अच्छा	ई
अच्छापन	अच्छा	पन
अछूत	अ	छूत
अजगरी	अजगर	ई
अजीब-ओ-ग़रीब	अजीब	ग़रीब
अटकलपच्चू	अटकल	पच्चू
अटकलबाज़ी	अटकल	बाज़ी
अठपहिया	अठ	पहिया
अतिवाद	अति	वाद
अतिवादी	अति	वादी
अतुल	अ	तुल
अदाकार	अदा	कार
अदाकारा	अदा	कारा
अधजल	आधा	जल
अधमर्ण	अधम	ऋण
अधर्म	अ	धर्म
अधिकता	अधिक	ता
अधिकार	अधि	कार
अधिनियम	अधि	नियम
अनकटा	अन	कटा
अनकहा	अन	कहा
अनखुला	अन	खुला
अनचखा	अन	चखा
अनछुआ	अन	छुआ
अनटूटा	अन	टूटा
अनथक	अन	थक
अनपच	अन	पच
अनपढ़	अन	पढ़
अनबीता	अन	बीता
अनभिज्ञ	अन्	अभिज्ञ
अनसुलझा	अन	सुलझा
अनहितू	अन	हितू
अनहोना	अन	होना
अनाज	अन्न	अद्य
