37564	三	七	五	六	四
4コマ漫画	四	齣	漫画
CM	commercial	message
DD論	DD	論
DTMer	DTM	er
K点	K	点
LDK	living room	dining room	kitchen
PCR検査	PCR	検査
POP広告	POP	広告
PV	promotional	video
SI単位系	SI	単位系
TACOる	TACO	る
T定規	T	定規
bool型	bool	型
char型	char	型
int型	int	型
あかぼし	赤	星
あからがお	赤	顔
あがた	彼	方
あけび	開け	実
あなた	あ	な	た
あの	あ	の
あの世	あの	世
ありか	あり	処
ありがとう	有り	難い
ありがとうございます	ありがとう	ございます
ありがとう存じます	ありがとう	存じます
あるいは	ある	い	は
あることないこと	ある	こと	ない	こと
あるは	ある	は
あるまじき	ある	まじき
あれ	あ	れ
あんパン	餡	パン
いい子	いい	子
いかだ	厳し	板
いきづまる	息	詰まる
いきりたつ	熱り	立つ
いそいそがに	いそいそ	蟹
いつメン	いつも	メンバー
いらっしゃいませ	いらっしゃい	ませ
いろせ	いろ	兄
いろは	いろ	は
うpる	うp	る
うかうか三十きょろきょろ四十	うかうか	三十	きょろきょろ	四十
うきよ	憂き	世
うさぎ座	うさぎ	座
うざったい	うざ	たい
うっかり者	うっかり	者
うらかた	裏	方
うるさい	心	狭し
えそらごと	絵	空事
えた	餌	取り
おいちょかぶ	オイチョ	カブ
おおいぬ座	大	犬	座
おおぐま座	大	熊	座
おか	峰	処
おかま	御	釜
おぎゃる	おぎゃあ	る
おこげ	御	焦げ
おさら	お	皿
おしっこ	お	しっこ
おしまい	お	しまい
おしゃべり	お	喋り
おそそ	お	そそ
おちびさん	お	ちび	さん
おちんちん	御	ちんちん
おてつき	御	てつき
おはよう	御	早く
おまんこ	お	まんこ
おめかし	お	めかし
おめでとう	御	愛でたく
おれもの	おれ	者
お世話	お	世話
お世辞	御	世辞
お久しぶりです	久しい	ぶり
お仕置き	御	仕置き
お休みなさい	御	休み	なさい
お元気で	お	元気	で
お八つ	お	八	つ
お出で	御	出で
お化け屋敷	お化け	屋敷
お名前	御	名前
お団子	御	団子
お国	御	国
お報せ	お	報せ
お姉さん	お	姉	さん
お姉ちゃん	お	姉	ちゃん
お嬢さん	お	嬢	さん
お宅	御	宅
お定まり	御	定まり
お寺	御	寺
お座り	御	座る
お弁当箱	御	弁当箱
お手上げ	御	手	上げ
お手並み	お	手並み
お手並み拝見	お	手並み	拝見
お新香	お	新香
お昼	お	昼
お構いなく	お	構い	なく
お母さん	お	母	さん
お水	お	水
お浸し	御	浸し
お湯	お	湯
お疲れ	御	疲れ
お盆	御	盆
お知らせ	お	知らせ
お祝い	御	祝い
お祭り	御	祭り
お絵かき	御	絵	描く
お腹	御	中
お茶	御	茶
お菓子	御	菓子
お通し	御	通し
お酒	御	酒
お醤油	お	醤油
お釈迦	御	釈迦
お金	お	金
お預け	お	預け
お風呂	御	風呂
かな	か	な
かの	か	の
かばしら	蚊	柱
からす	から	す
からもの	唐	物
かりそめ	仮	初め
かわいそう	かわいい	そう
がくがくぶるぶる	がくがく	ぶるぶる
がに股	蟹	股
がらがら蛇	がらがら	蛇
きむぢ	君	貴
きめこまかい	木目	細かい
きょどる	挙動不審	る
きりきり舞い	きりきり	舞い
ぎゃふん	ぎゃ	ふん
くぐり抜ける	潜り	抜ける
くし形	櫛	形
くらい	座	居
くるぶし	くる	節
くるわ	くる	わ
けつなあな確定	けつなあな	確定
けむ	け	む
けらば	螻蛄	羽
けり	来	あり
けれども	けれ	ども
こうま座	小	馬	座
ここぞという時	ここぞ	と	いう	時
ここぞとばかりに	ここぞ	と	ばかり	に
こじし座	小	獅子	座
こそあど	こ	そ	あ	ど
こち	此	ち
こちらこそありがとうございます	こちらこそ	ありがとうございます
こどもの日	子供	の	日
この	こ	の
このあいだ	此の	間
この上なく	この	上	なく
この世	この	世
こみち	小	道
こめじるし	米	印
こもごも	此	も	此	も
これ以上	これ	以上
こん畜生	こん	畜生
ござる	ご	ざ	ある
ごゆっくり	ご	ゆっくり
ご多分に漏れず	ご	多分	に	漏れる	ず
ご想像にお任せします	ご	想像	に	お	任せ	します
ご機嫌よう	ご機嫌	よう
ご降誕	御	降誕
ご馳走様でした	御	馳走	様	でした
さかずき	酒	坏
さかな	酒	肴, 菜, 魚
さとり世代	さとり	世代
さま	さ	ま
さもなくば	さもない	ば
さやか	清	か
さる	然	あり
ざり	ず	あり
しかと	鹿	十
しかばね	死	尸, 屍
したぐつ	下	沓 / 靴
したっけ	した	っけ
しまう	閉まる	ふ
しゃぶ漬け	しゃぶ	漬け
じぇんこ	銭	子
じゃがバター	じゃがいも	バター
すみ	酸	み
ずにはいられない	ずに	は	いられない
せきのやま	関	の	山
せとか	瀬戸	か
せやな	せ	や	な
そつがない	そつ	が	ない
その場限り	その場	限り
その通り	その	通り
そよ吹く	そよそよ	吹く
そらごと	空	言, 事
それ	そ	れ
それだから	それ	だから
ぞっとしない	ぞっと	しない
ぞろ目	ぞろ	目
たたずむ	立つ	住む
ただす	唯	す
ただで済む	ただ	で	済む
たつみ	辰	巳
たねポケモン	種	ポケモン
だから	だ	から
だす	で	やす
ちゃんころ	銭	ころ
ちょうこくしつ座	彫刻	室	座
つとめて	夙	めて
つのぎり	角	錐
つぼい	壺	い
つぼる	壺	る
てしまう	て	しまう
てへぺろ	てへ	ぺろっ
できない	でき	ない
できぬ	できる	ぬ
です	で	ある
でも	で	も
でんぐり返す	でんぐり	返す
でんぐり返る	でんぐり	返る
でんでん太鼓	でんでん	太鼓
とこしえ	とこし	方
とみに	頓	に
とも	と	も
ともあれ	と	も	あれ
ともなく	と	も	なく
どうしても	どうして	も
どうせ	どう	せ
どうも	どう	も
どうもありがとう	どうも	ありがとう
どうやらこうやら	どうやら	こうやら
どこか	どこ	か
どっちもどっち	どっち	も	どっち
どっちもどっち論	どっちもどっち	論
どん底	どん	底
なか	ある	処
なば	な	ば
なめし革	なめし	革
ならず者	成らず	者
なり	に	あり
なりけり	なり	けり
なんくるないさ	なんくる	成い	さ
なんでやねん	なんで	や	ねん
にきて	和	手
にもかかわらず	に	も	かかわらず
ねじれ双角錐	ねじれ	双角錐
ねっこ	根	こ
ねもと	根	元
のみ	の	身
はこせこ	筥, 箱, 函	せこ
はしくれ	端	塊
はしご高	梯子	高
はっきよい	発気	揚々
はっけよい	八卦	良い
はと座	鳩	座
はなお	鼻	緒
はなよめ	花	嫁
はまり役	填まり	役
はりぼて	張り	ぼて
ばばっちい	糞#baba	しい
ぱくツイ	ぱくり	ツイート
ひき逃げ	轢き	逃げ
ひこ	日	子
ひそひそ声	ひそひそ	声
ひたいかくし	額	隠し
ひたき	火	焚き
ひだるい	干	だるい
ひっこす	引き	越す
ひびが入る	ひび	が	入る
ひび割れる	ひび	割れる
ひまわり学級	ひまわり	学級
ひもの	檜	物
びりを蹴る	びり	を	蹴る
ふみお	文	男
ふみこ	文	子
ふるさと	ふる	里
ぶどうジュース	ぶどう	ジュース
ぶらんこ	ぶらん	こ
ぶりっ子	振り	子
へた文字	下手	文字
へなっちょろい	へな	っ	ちょろい
へみゆみ	蛇	弓
べこ	べ	子
べそをかく	べそ	を	かく
べそを作る	べそ	を	作る
ぺんぺん草	ぺんぺん	草
ほくそえむ	北叟	笑む
ほしい	干し	飯
ほしもの	干し	物
ほととぎす	ほととぎ	す
ほんのこて	本	の	事	に
ぼこ	坊	子
ぼったくり	ぼり	たくり
まきす	巻き	簀
まぐろおんな	マグロ	女
まさか	正	か
またとない	また	と	ない
まっかん蟹	真っ赤	蟹
まっとう	真っ	当
まなざし	目	な	指し
まな板	真魚	板
まばら	間	あばら
まほし	ま	く	ほし
まるきばし	丸木	橋
まるごと	丸	ごと
みこともち	御言	持ち
みじん切り	微塵	切り
みそか	三十	日
みそかす	味噌	滓
みそじ	三十	ち
みそち	三十	ち
みそめる	見	初める
みなみじゅうじ座	南	十字	座
みみしい	耳	癈
めくら	目	暗
めしい	目	癈
めまい	目	舞い
めり	目	あり
めんどくさい	めんどう	くさい
もっこりビキニ	もっこり	ビキニ
もろは	諸	刃
やさかにのまがたま	八尺瓊	の	まがたま
やりこなす	やり	こなす
ゆきづまる	行き	詰まる
ゆとり世代	ゆとり	世代
ゆとり教育	ゆとり	教育
よこぎる	横	切る
よすが	寄す	処
よびこう	よび	こう
より一層	より	一層
わたの原	海	の	原
をば	を	は
んとする	む	と	す
アウストロネシア語族	アウストロネシア	語族
アカミミガメ	赤耳	亀
アシル基	アシル	基
アジア象	アジア	象
アスパラギン酸	アスパラギン	酸
アセチレン系炭化水素	アセチレン	系
アデリーペンギン	アデリー	ペンギン
アドレス解決プロトコル	アドレス	解決	プロトコル
アニソン	アニメ	ソング
アビシニアジャッカル	アビシニア	ジャッカル
アフターコロナ	after	コロナ
アフリカウスイロイルカ	アフリカ	ウスイロイルカ
アフリカニシキヘビ	アフリカ	ニシキヘビ
アフリカ象	アフリカ	象
アヘ顔	アヘアヘ	顔
アホ毛	阿呆	毛
アボガドロ定数	アボガドロ	定数
アミノ酸	アミノ	酸
アメリカアカオオカミ	アメリカ	赤狼
アメリカオシ	アメリカ	鴛鴦
アメリカグマ	アメリカ	熊
アメリカシロヅル	アメリカ	白	鶴
アメリカ英語	アメリカ	英語
アリツカゲラ	蟻	塚	啄木鳥
アリル基	アリル	基
アルカリ金属	アルカリ	金属
アルトオーボエ	アルト	オーボエ
アルバニア人民共和国	アルバニア	人民	共和国
アルバニア公国	アルバニア	公国
アルバニア王国	アルバニア	王国
アルバニア社会主義人民共和国	アルバニア	社会主義	人民	共和国
アンゴラ山羊	アンゴラ	山羊
アンドラ公国	アンドラ	公国
アーク放電	アーク	放電
アーク溶接	アーク	溶接
アーク炉	アーク	炉
アーレ川	アーレ	川
イカ耳	烏賊	耳
イギリス帝国	イギリス	帝国
イギリス英語	イギリス	英語
イギリス連邦	イギリス	連邦
イワトビペンギン	岩	跳び	ペンギン
インサイダー取引	インサイダー	取引
インスタ映え	インスタ	映え
インド・ヨーロッパ語族	インド	ヨーロッパ	語族
インド孔雀	インド	孔雀
インド洋	インド	洋
インド英語	インド	英語
インド象	インド	象
イ短調	イ	短調
イ長調	イ	長調
ウィズコロナ	with	コロナ
ウィントフック	wind	hoek
ウミユリ	海	百合
エアリプ	エア	リプ
エギンガー	餌木	ing
エギング	餌木	ing
エコノミークラス症候群	エコノミークラス	症候群
エジプト睡蓮	エジプト	睡蓮
エチレン系炭化水素	エチレン	系
エッフェル塔	エッフェル	塔
エペソ人への手紙	エペソ	人	へ	の	手紙
エボラウイルス	エボラ	ウイルス
エボラウイルス病	エボラウイルス	病
エボラ出血熱	エボラ	出血熱
オウマー	オウム	er
オカメインコ	おかめ	鸚哥
オクタデカン酸	オクタデカン	酸
オグロプレーリードッグ	オグロ	プレーリードッグ
オスマン帝国	オスマン	帝国
オゾン層	オゾン	層
オタサーの姫	オタサー	の	姫
オフィスレディー	オフィス	レディー
オフサルモロジー	オフサルモ	ロジー
オランダ王国	オランダ	王国
オランダ領ニューギニア	オランダ	領	ニューギニア
オリンピック競技大会	オリンピック	競技	大会
オルソ画像	ortho	画像
オルソ補正	ortho	補正
オレオレ詐欺	オレ	オレ	詐欺
オレフィン系炭化水素	オレフィン	系
オレンジジュース	オレンジ	ジュース
オーストラリア英語	オーストラリア	英語
オーストロネシア語族	オーストロネシア	語族
オーナーシェフ	オーナー	シェフ
オーナードライバー	オーナー	ドライバー
オープンカー	オープン	カー
カザフスタン共和国	カザフスタン	共和国
カスピ海海豹	カスピ海	海豹
カチンコ	かちん	こ
カッターナイフ	カッター	ナイフ
カップ麺	カップ	麺
カナダ英語	カナダ	英語
カニクイイヌ	蟹	食い	犬
カノン砲	カノン	砲
カフカス・アルバニア	カフカス	アルバニア
カラクン鳥	カラクン	鳥
カリブ海	カリブ	海
カレーうどん	カレー	うどん
カレールー	カレー	ルー
カンボジア王国	カンボジア	王国
カーボベルデ共和国	カーボベルデ	共和国
カ行変格活用	カ行	変格活用
ガセネタ	ガセ	ネタ
ガチンコ	がちん	こ
ガパオライス	กะเพรา	rice
ガビアルモドキ	ガビアル	もどき
ガラス体	ガラス	体
ガラパゴスケータイ	ガラパゴス	ケータイ
ガラパゴス諸島	ガラパゴス	諸島
ガングロ	顔	黒
キタキツネ	北	狐
キモカワイイ	キモい	可愛い
キャノン砲	キャノン	砲
キャンピングカー	キャンピング	カー
キラキラネーム	きらきら	ネーム
キリル文字	キリル	文字
ギザ十	ギザギザ	十
ギニアビサウ共和国	ギニアビサウ	共和国
ギニア共和国	ギニア	共和国
ギャップ萌え	ギャップ	萌え
ギャルゲーム	ギャル	ゲーム
ギャル文字	ギャル	文字
ギリギリ健常者	ギリギリ	健常者
ギンギツネ	銀	狐
クイズ番組	クイズ	番組
クォークチーズ	クォーク	チーズ
クソカキコ	糞	カキコ
クソリプ	クソ	リプ
クラインの壺	クライン	の	壺
クラス図	クラス	図
クランベリージュース	クランベリー	ジュース
クロイツフェルト・ヤコブ病	クロイツフェルト	ヤコブ	病
ク活用	く	活用
ググれカス	ググれ	かす
グランド・ブルターニュ	グランド	ブルターニュ
グリニッジ平均時	グリニッジ	平均時
グリニッジ標準時	グリニッジ	標準時
グルタミン酸	グルタミン	酸
グレビー縞馬	グレビー	縞馬
グレートブリテン王国	グレートブリテン	王国
グレープジュース	グレープ	ジュース
ケイマン諸島	ケイマン	諸島
ケイ素	珪	素
ケイ素鋼	ケイ素	鋼
ケット・シー	cait	sìth
ケツバット	ケツ	バット
ケーキ屋	ケーキ	屋
ゲシュタルト崩壊	Gestalt	崩壊
ゲスい	ゲス	い
コインロッカー	コイン	ロッカー
ココ椰子	coco	椰子
コスプレイヤー	コスプレ	er
コツメカワウソ	小	爪	カワウソ
コディアックヒグマ	コディアック	ヒグマ
コナミコマンド	コナミ	コマンド
コモド大蜥蜴	コモド	大蜥蜴
コロナ禍	コロナ	禍
コロンビア共和国	コロンビア	共和国
コーヒーカップ	コーヒー	カップ
コール天	コール	天
ゴルジ体	ゴルジ	体
サウジアラビア王国	サウジアラビア	王国
サグカレー	साग	カレー
サラリーマン	サラリー	マン
サンダカン死の行進	サンダカン	死	の	行進
サ行変格活用	サ行	変格活用
シェトランド諸島	シェトランド	諸島
シカレイヨウ	鹿	羚羊
シク戦争	Punjabi ਸਿੱਖ	戦争
シク活用	しく	活用
シス-トランス異性体	シス-トランス異性	体
システムエンジニア	システム	エンジニア
システム工学	システム	工学
シャブ漬け	シャブ	漬け
シャボン玉	シャボン	玉
シュワルツシルト半径	シュワルツシルト	半径
シリア・アラブ共和国	シリア	アラブ	共和国
シロイワヤギ	白	岩	ヤギ
シロカモシカ	白	カモシカ
シンガポール	सिंह	पुर
ジェネリック医薬品	generic	医薬品
ジャイアントキル	giant	kill
ジャガ芋	ジャガタラ	芋
ジャムる	ジャム	る
ジャワ犀	ジャワ	犀
スウェーデンリレー	スウェーデン	リレー
スウェーデン王国	スウェーデン	王国
スコットランド・ゲール語	スコットランド	ゲール語
スコットランド英語	スコットランド	英語
スタバる	スタバ	る
スタープレーヤー	スター	プレーヤー
スッポンモドキ	鼈	擬き
ステアリン酸	ステアリン	酸
ステラー海牛	ステラー	海牛
ストックホルム症候群	ストックホルム	症候群
ストレッチ体操	ストレッチ	体操
スネ毛	すね	毛
スパブロ	スパム	ブロック
スペイン・バスク	スペイン	バスク
スペイン内戦	スペイン	内戦
スペイン国	スペイン	国
スペイン王国	スペイン	王国
スペイン風邪	スペイン	風邪
スマトラアカニシキヘビ	スマトラ	赤	ニシキヘビ
スマトラカモシカ	スマトラ	カモシカ
スマトラ犀	スマトラ	犀
スリーカード	スリー	カード
スルホニル基	English sulfonyl	基
スワジランド王国	スワジランド	王国
スーダン共和国	スーダン	共和国
ズル休み	狡	休み
セアカフタマタクワガタ	背赤	二股	クワガタ
セルビア・モンテネグロ	セルビア	モンテネグロ
セルビア・モンテネグロ連邦	セルビア・モンテネグロ	連邦
セントビンセント・グレナディーン	セントビンセント	グレナディーン
ソナタ形式	ソナタ	形式
ソロモンの知恵	ソロモン	の	知恵
ソロモン諸島	ソロモン	諸島
タイムアタック	タイム	アタック
タイリクオオカミ	大陸	狼
タテガミオオカミ	たてがみ	狼
タリ活用	たり	活用
タンドリーチキン	तन्दूरी	chicken
ダフる	ダフ	る
ダフ屋	札	屋
ダブル立直	ダブル	立直
チベットノロバ	チベット	野	驢馬
チャラ付く	チャラ	付く
チャリンコ	チャリン	子
チンピラ	ちん	片
ツイッタラー	ツイッター	er
ツイッター廃人	ツイッター	廃人
ツインテール	ツイン	テール
ツイ友	ツイッター	友
テレビっ子	テレビ	子
テレビゲーム	テレビ	ゲーム
テレビ番組	テレビ	番組
テレワーク	テレ	ワーク
テーブルさん座	テーブル	山	座
テーマソング	テーマ	ソング
デブる	デブ	る
デリバリーヘルス	デリバリー	ヘルス
デヴォン紀	デヴォン	紀
トマトジュース	トマト	ジュース
トランプマニア	トランプ	マニア
トランプ主義	トランプ	主義
トリニダード・トバゴ	トリニダード	トバゴ
トリニダード・トバゴ共和国	トリニダード・トバゴ	共和国
トレーニングパンツ	トレーニング	パンツ
トロイアの木馬	トロイア	の	木馬
トンガ王国	トンガ	王国
トンキン湾	トンキン	湾
ト短調	ト	短調
ト長調	ト	長調
ドイツ帝国	ドイツ	帝国
ドイツ領ニューギニア	ドイツ	領	ニューギニア
ドジっ子	ドジ	子
ドップラー効果	ドップラー	効果
ドネツク人民共和国	ドネツク	人民共和国
ドミニカ共和国	ドミニカ	共和国
ドヤ顔	どや・どうや	顔
ドライブイン	ドライブ	イン
ドライブウェイ	ドライブ	ウェイ
ドライブスルー	ドライブ	スルー
ナイジェリア連邦共和国	ナイジェリア	連邦	共和国
ナチス・ドイツ	ナチス	ドイツ
ナッタ投影式	ナッタ	投影式
ナリ活用	なり	活用
ナ行変格活用	ナ行	変格活用
ニジェール共和国	ニジェール	共和国
ニホンカモシカ	日本	カモシカ
ニヤリスト	にやり	ist
ニュージーランド英語	ニュージーランド	英語
ニューファンドランド白狼	ニューファンドランド	白	狼
ニューマン投影式	ニューマン	投影式
ニ短調	ニ	短調
ニ長調	ニ	長調
ネコ属	猫	属
ネス湖	ネス	湖
ネズミ講	ねずみ算	講
ネトサポ	ネット	サポーター
ネブラスカオオカミ	ネブラスカ	狼
ノンデリ	ノン	デリカシー
ノートパソコン	ノート	パソコン
ノーマスク	ノー	マスク
ハイイロオオカミ	灰色	狼
ハイチ共和国	ハイチ	共和国
ハイブリッドワーク	ハイブリッド	ワーク
ハッシュドビーフ	ハッシュド	ビーフ
ハース投影式	ハース	投影式
ハ短調	ハ	短調
ハ行転呼	ハ行	転呼
ハ行転呼音	ハ行	転呼音
ハ長調	ハ	長調
バイカル海豹	バイカル	海豹
バイキング料理	バイキング	料理
バイトテロ	バイト	テロ
バカ発見器	バカ	発見	器
バズーカ砲	bazooka	砲
バターン死の行進	バターン	死	の	行進
バックグラウンド汚染	バックグランド	汚染
バックシャン	バック	シャン
バヌアツ共和国	バヌアツ	共和国
パイナップルジュース	パイナップル	ジュース
パケ死	パケ	死
パチンコ	ぱちん	子
パパ活	パパ	活
パプア火食い鳥	パプア	火食い鳥
パワーアップ	パワー	アップ
パン屋	パン	屋
ヒアリ	火	蟻
ヒドロキシル基	English hydroxyl	基
ヒドロ虫	ὑδρο	虫
