# Supertokens for English (204609 total, sorted by frequency)

do you (2 atoms, 4845 occurrences)
want to (2 atoms, 2719 occurrences)
to the (2 atoms, 2291 occurrences)
I know (2 atoms, 1569 occurrences)
have to (2 atoms, 1485 occurrences)
on the (2 atoms, 1432 occurrences)
I am (2 atoms, 1399 occurrences)
need to (2 atoms, 1017 occurrences)
you know (2 atoms, 938 occurrences)
there are (2 atoms, 807 occurrences)
going to (2 atoms, 745 occurrences)
no one (2 atoms, 743 occurrences)
for you (2 atoms, 673 occurrences)
a lot of (3 atoms, 672 occurrences)
there is (2 atoms, 654 occurrences)
do you know (3 atoms, 631 occurrences)
is it (2 atoms, 628 occurrences)
for me (2 atoms, 607 occurrences)
come on (2 atoms, 576 occurrences)
do it (2 atoms, 543 occurrences)
thank you (2 atoms, 505 occurrences)
a lot (2 atoms, 502 occurrences)
how many (2 atoms, 502 occurrences)
the same (2 atoms, 469 occurrences)
look at (2 atoms, 427 occurrences)
to go (2 atoms, 420 occurrences)
there was (2 atoms, 404 occurrences)
every day (2 atoms, 396 occurrences)
you see (2 atoms, 392 occurrences)
I would (2 atoms, 376 occurrences)
a little (2 atoms, 366 occurrences)
live in (2 atoms, 364 occurrences)
a few (2 atoms, 360 occurrences)
the house (2 atoms, 359 occurrences)
what about (2 atoms, 350 occurrences)
may I (2 atoms, 347 occurrences)
like to (2 atoms, 341 occurrences)
all of (2 atoms, 340 occurrences)
see you (2 atoms, 337 occurrences)
last night (2 atoms, 329 occurrences)
each other (2 atoms, 326 occurrences)
all right (2 atoms, 312 occurrences)
have you ever (3 atoms, 306 occurrences)
I do (2 atoms, 302 occurrences)
that is (2 atoms, 288 occurrences)
come back (2 atoms, 284 occurrences)
I see (2 atoms, 273 occurrences)
a bit (2 atoms, 266 occurrences)
I mean (2 atoms, 261 occurrences)
you guys (2 atoms, 249 occurrences)
your mother (2 atoms, 247 occurrences)
you think (2 atoms, 243 occurrences)
how long (2 atoms, 239 occurrences)
me the (2 atoms, 239 occurrences)
right now (2 atoms, 238 occurrences)
what time (2 atoms, 231 occurrences)
of course (2 atoms, 222 occurrences)
what kind of (3 atoms, 221 occurrences)
full of (2 atoms, 220 occurrences)
this morning (2 atoms, 219 occurrences)
to come (2 atoms, 213 occurrences)
out of (2 atoms, 205 occurrences)
my son (2 atoms, 203 occurrences)
the fuck (2 atoms, 202 occurrences)
I wish (2 atoms, 199 occurrences)
over there (2 atoms, 192 occurrences)
all the time (3 atoms, 188 occurrences)
with us (2 atoms, 187 occurrences)
what are you doing (4 atoms, 183 occurrences)
I am not (3 atoms, 180 occurrences)
very well (2 atoms, 178 occurrences)
the way (2 atoms, 178 occurrences)
in the world (3 atoms, 176 occurrences)
what do you think (4 atoms, 174 occurrences)
too much (2 atoms, 174 occurrences)
how do (2 atoms, 172 occurrences)
go home (2 atoms, 170 occurrences)
think about (2 atoms, 169 occurrences)
long time (2 atoms, 168 occurrences)
because of (2 atoms, 167 occurrences)
has been (2 atoms, 167 occurrences)
the one (2 atoms, 163 occurrences)
all day (2 atoms, 161 occurrences)
excuse me (2 atoms, 160 occurrences)
very good (2 atoms, 158 occurrences)
talk about (2 atoms, 158 occurrences)
I told you (3 atoms, 158 occurrences)
go on (2 atoms, 157 occurrences)
in front of (3 atoms, 156 occurrences)
look like (2 atoms, 156 occurrences)
what if (2 atoms, 154 occurrences)
think you (2 atoms, 152 occurrences)
take care of (3 atoms, 150 occurrences)
go out (2 atoms, 150 occurrences)
the hell (2 atoms, 149 occurrences)
this time (2 atoms, 148 occurrences)
so much (2 atoms, 148 occurrences)
book is (2 atoms, 147 occurrences)
as well (2 atoms, 146 occurrences)
this one (2 atoms, 146 occurrences)
come in (2 atoms, 145 occurrences)
on the table (3 atoms, 145 occurrences)
old man (2 atoms, 145 occurrences)
how much (2 atoms, 145 occurrences)
there a (2 atoms, 144 occurrences)
make it (2 atoms, 143 occurrences)
all night (2 atoms, 141 occurrences)
think I (2 atoms, 140 occurrences)
sit down (2 atoms, 139 occurrences)
or not (2 atoms, 139 occurrences)
supposed to (2 atoms, 136 occurrences)
lots of (2 atoms, 136 occurrences)
you two (2 atoms, 136 occurrences)
at home (2 atoms, 132 occurrences)
shut up (2 atoms, 131 occurrences)
something to (2 atoms, 131 occurrences)
think of (2 atoms, 130 occurrences)
get up (2 atoms, 130 occurrences)
wait for (2 atoms, 129 occurrences)
get it (2 atoms, 127 occurrences)
kind of (2 atoms, 127 occurrences)
be able to (3 atoms, 126 occurrences)
what do you want (4 atoms, 125 occurrences)
take it (2 atoms, 124 occurrences)
wake up (2 atoms, 123 occurrences)
it seems (2 atoms, 123 occurrences)
at night (2 atoms, 123 occurrences)
one day (2 atoms, 122 occurrences)
go back to (3 atoms, 122 occurrences)
this way (2 atoms, 122 occurrences)
be careful (2 atoms, 122 occurrences)
have to (2 atoms, 121 occurrences)
get out (2 atoms, 120 occurrences)
as soon as (3 atoms, 119 occurrences)
up to (2 atoms, 118 occurrences)
you know what (3 atoms, 117 occurrences)
hold on (2 atoms, 117 occurrences)
about to (2 atoms, 117 occurrences)
car is (2 atoms, 116 occurrences)
the day (2 atoms, 115 occurrences)
very much (2 atoms, 115 occurrences)
what is it (3 atoms, 114 occurrences)
my name is (3 atoms, 114 occurrences)
go there (2 atoms, 113 occurrences)
I say (2 atoms, 112 occurrences)
let us (2 atoms, 112 occurrences)
that way (2 atoms, 112 occurrences)
