term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
tirare fuori qualcosa	filled	120	12	12	1.00	yes		
capitare a qualcuno	clitic	84	10	12	0.83	yes	Non sai mai quale sarà la prossima mano che ti capita.	ti … capita
fare del proprio meglio	clitic	78	12	12	1.00	yes		
capitare a qualcuno	filled	60	9	12	0.75	yes	Cosa le è capitato a Boston?	capitato … a … Boston
sangue del proprio sangue	clitic	52	1	12	0.08	no	Anche il mio sangue?	mio … sangue
a proprio agio	clitic	45	12	12	1.00	yes		
dalla propria parte	clitic	39	9	12	0.75	yes	Katherine, devo uscire dalla sua parte!	dalla … sua … parte
fare la propria parte	clitic	17	12	12	1.00	yes		
tirare fuori qualcosa	clitic	16	12	12	1.00	yes		
dalla propria parte	filled	12	7	12	0.58	no	Dalla parte opposta della strada c'è una farmacia aperta anche la domenica.	Dalla … parte … strada
ai propri piedi	clitic	11	8	11	0.73	yes	Indicò il tappeto ai suoi piedi.	ai … suoi … piedi
fare la propria parte	filled	8	0	8	0.00	no	Diego, lei fa la parte del giovane passivo aggressivo.	fa … la … parte … giovane
a propria volta	clitic	6	6	6	1.00	yes		
ai propri piedi	filled	4	2	4	0.50	no	La chiesa è ai piedi di una montagna.	ai … piedi … montagna
sangue del proprio sangue	filled	4	2	4	0.50	no	Dammi il sangue del vampiro!	sangue … del … vampiro
sapere il fatto proprio	clitic	4	4	4	1.00	yes		
aprire il proprio cuore	clitic	3	3	3	1.00	yes		
a proprio agio	filled	2	2	2	1.00	yes		
a propria volta	filled	1	0	1	0.00	no	E a volte di sciroppo per la tosse.	a … volte … sciroppo
andare per la propria strada	clitic	1	1	1	1.00	yes		
fare i propri bisogni	clitic	1	1	1	1.00	yes		
pane per i propri denti	clitic	1	1	1	1.00	yes		
uscire dal proprio guscio	clitic	1	1	1	1.00	yes		
