# Supertokens for Korean (4299 total, sorted by frequency)

것 같아 (2 atoms, 125 occurrences)
안 돼 (2 atoms, 105 occurrences)
줄 알아 (2 atoms, 79 occurrences)
수 있어 (2 atoms, 70 occurrences)
안 돼 (2 atoms, 58 occurrences)
왜 그렇게 (2 atoms, 55 occurrences)
그 사람은 (2 atoms, 43 occurrences)
왜 그래 (2 atoms, 41 occurrences)
은 요 (3 atoms, 40 occurrences)
한 번 (2 atoms, 38 occurrences)
내 말 (2 atoms, 34 occurrences)
어디 있어 (2 atoms, 34 occurrences)
는 요 (3 atoms, 33 occurrences)
무슨 일이야 (2 atoms, 33 occurrences)
수 없어 (2 atoms, 33 occurrences)
수 있을까 (2 atoms, 32 occurrences)
왜 날 (2 atoms, 31 occurrences)
그 사람 (2 atoms, 31 occurrences)
내가 뭘 (2 atoms, 31 occurrences)
둘 다 (2 atoms, 31 occurrences)
더 이상 (2 atoms, 30 occurrences)
왜 안 (2 atoms, 30 occurrences)
어디 있어 (2 atoms, 30 occurrences)
뭐 하는 (2 atoms, 29 occurrences)
적 있어 (2 atoms, 29 occurrences)
무슨 일이 (2 atoms, 28 occurrences)
왜 이렇게 (2 atoms, 28 occurrences)
수 있을까요 (2 atoms, 28 occurrences)
집에 (2 atoms, 28 occurrences)
무슨 일 (2 atoms, 28 occurrences)
안 돼요 (2 atoms, 28 occurrences)
거 아냐 (2 atoms, 28 occurrences)
이게 무슨 (2 atoms, 28 occurrences)
좀 더 (2 atoms, 27 occurrences)
안 그래 (2 atoms, 27 occurrences)
무슨 말을 (2 atoms, 27 occurrences)
하는 거야 (2 atoms, 26 occurrences)
뭐 해 (2 atoms, 26 occurrences)
어디 있지 (2 atoms, 25 occurrences)
안 해 (2 atoms, 25 occurrences)
뭐 하는 거야 (3 atoms, 25 occurrences)
왜 그래 (2 atoms, 24 occurrences)
못 봤어 (2 atoms, 24 occurrences)
내가 왜 (2 atoms, 24 occurrences)
할 거야 (2 atoms, 24 occurrences)
