# Supertokens for Portuguese (19797 total, sorted by frequency)

o que (2 atoms, 1724 occurrences)
por favor (2 atoms, 1366 occurrences)
por que (2 atoms, 1043 occurrences)
é um (2 atoms, 940 occurrences)
para o (2 atoms, 894 occurrences)
não é (2 atoms, 766 occurrences)
com o (2 atoms, 722 occurrences)
fazer isso (2 atoms, 686 occurrences)
para mim (2 atoms, 685 occurrences)
eu quero (2 atoms, 652 occurrences)
é o (2 atoms, 640 occurrences)
para a (2 atoms, 631 occurrences)
você é (2 atoms, 614 occurrences)
acho que (2 atoms, 609 occurrences)
é uma (2 atoms, 599 occurrences)
eu tenho (2 atoms, 586 occurrences)
você pode (2 atoms, 578 occurrences)
eu não (2 atoms, 541 occurrences)
você está (2 atoms, 536 occurrences)
é muito (2 atoms, 513 occurrences)
disse que (2 atoms, 508 occurrences)
eu acho que (3 atoms, 507 occurrences)
você tem (2 atoms, 498 occurrences)
o seu (2 atoms, 496 occurrences)
e a (2 atoms, 479 occurrences)
ele é (2 atoms, 473 occurrences)
com você (2 atoms, 461 occurrences)
com a (2 atoms, 454 occurrences)
para você (2 atoms, 447 occurrences)
de novo (2 atoms, 433 occurrences)
alguma coisa (2 atoms, 432 occurrences)
é a (2 atoms, 428 occurrences)
o meu (2 atoms, 426 occurrences)
eu estava (2 atoms, 414 occurrences)
em casa (2 atoms, 412 occurrences)
meu pai (2 atoms, 402 occurrences)
que o (2 atoms, 397 occurrences)
a sua (2 atoms, 394 occurrences)
você quer (2 atoms, 394 occurrences)
um pouco (2 atoms, 394 occurrences)
você já (2 atoms, 391 occurrences)
as pessoas (2 atoms, 387 occurrences)
isso é (2 atoms, 378 occurrences)
eu sou (2 atoms, 377 occurrences)
todo mundo (2 atoms, 377 occurrences)
do que (2 atoms, 369 occurrences)
a minha (2 atoms, 368 occurrences)
muito bem (2 atoms, 357 occurrences)
eu preciso (2 atoms, 347 occurrences)
que eu (2 atoms, 346 occurrences)
você não (2 atoms, 337 occurrences)
gosta de (2 atoms, 335 occurrences)
por que você (3 atoms, 334 occurrences)
você vai (2 atoms, 332 occurrences)
com ele (2 atoms, 332 occurrences)
e eu (2 atoms, 330 occurrences)
ele não (2 atoms, 330 occurrences)
eu queria (2 atoms, 327 occurrences)
todos os dias (3 atoms, 322 occurrences)
eu me (2 atoms, 321 occurrences)
que ele (2 atoms, 320 occurrences)
ela é (2 atoms, 320 occurrences)
isto é (2 atoms, 319 occurrences)
eu gosto de (3 atoms, 315 occurrences)
o senhor (2 atoms, 315 occurrences)
antes de (2 atoms, 311 occurrences)
a vida (2 atoms, 310 occurrences)
não há (2 atoms, 310 occurrences)
você precisa (2 atoms, 305 occurrences)
tem um (2 atoms, 303 occurrences)
se você (2 atoms, 302 occurrences)
ele tem (2 atoms, 296 occurrences)
