term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
dar algo	filled	5901	9	12	0.75	yes	Hichiro, date prisa.	date … prisa
dar algo	clitic	273	11	12	0.92	yes	A él le da lo mismo lo que otros digan.	da … lo
necesito su ayuda	clitic	66	12	12	1.00	yes		
su gracia	filled	30	3	12	0.25	no	Al contrario, muchas gracias a usted.	gracias … usted
a sus pies	clitic	17	11	12	0.92	yes	Agarraté a mi pie y dame la mano Yo te ayudaré.	a … mi … pie
cuál es su nombre	clitic	13	12	12	1.00	yes		
en su punto	filled	13	0	12	0.00	no	Bob está todo el rato en el punto de mira de la policía.	en … punto … mira
su gracia	clitic	12	5	12	0.42	no	Bendíceme con tu gracia.	tu … gracia
necesito su ayuda	filled	11	11	11	1.00	yes		
sudor de su frente	filled	10	2	10	0.20	no	A sudor de pies y pelo grasiento.	sudor … de … pies
a sus pies	filled	7	6	7	0.86	yes	Los dos palmerales están a cuatro pies de distancia.	a … pies … distancia
en su punto	clitic	5	4	5	0.80	yes	En mi personal punto de vista, su opinión es correcta.	En … mi … punto
por su cuenta	filled	4	4	4	1.00	yes		
buscarle las cosquillas a alguien	clitic	3	3	3	1.00	yes		
en sus cabales	clitic	3	3	3	1.00	yes		
sudor de su frente	clitic	3	1	3	0.33	no	Incluso lo puedes oler en su sudor.	su … sudor
niña de sus ojos	clitic	1	1	1	1.00	yes		
niña de sus ojos	filled	1	1	1	1.00	yes		
poner alguien en su sitio	clitic	1	1	1	1.00	yes		
poner alguien en su sitio	filled	1	1	1	1.00	yes		
sacar de sus casillas	filled	1	0	1	0.00	no	Haced sitio, recién sacado de la bodega.	sacado … de … bodega
tocar los cojones a alguien	clitic	1	1	1	1.00	yes		
volar con sus propias alas	clitic	1	1	1	1.00	yes		
