# Supertokens for Spanish (30976 total, sorted by frequency)

lo que (2 atoms, 5434 occurrences)
a la (2 atoms, 4102 occurrences)
de la (2 atoms, 3579 occurrences)
por favor (2 atoms, 3233 occurrences)
creo que (2 atoms, 2669 occurrences)
eso es (2 atoms, 1378 occurrences)
así que (2 atoms, 1011 occurrences)
todo lo que (3 atoms, 1008 occurrences)
muy bien (2 atoms, 1006 occurrences)
a casa (2 atoms, 925 occurrences)
ir a (2 atoms, 880 occurrences)
la vida (2 atoms, 832 occurrences)
si no (2 atoms, 776 occurrences)
después de (2 atoms, 737 occurrences)
está bien (2 atoms, 700 occurrences)
ya no (2 atoms, 690 occurrences)
de acuerdo (2 atoms, 669 occurrences)
es más (2 atoms, 657 occurrences)
no sé (2 atoms, 614 occurrences)
hay que (2 atoms, 607 occurrences)
todo el mundo (3 atoms, 603 occurrences)
a veces (2 atoms, 557 occurrences)
en casa (2 atoms, 555 occurrences)
hablar con (2 atoms, 538 occurrences)
de nuevo (2 atoms, 531 occurrences)
a ver (2 atoms, 530 occurrences)
por eso (2 atoms, 516 occurrences)
lo siento (2 atoms, 513 occurrences)
otra vez (2 atoms, 508 occurrences)
esta noche (2 atoms, 496 occurrences)
como si (2 atoms, 481 occurrences)
un poco (2 atoms, 454 occurrences)
más que (2 atoms, 429 occurrences)
mucho tiempo (2 atoms, 424 occurrences)
una vez (2 atoms, 410 occurrences)
el que (2 atoms, 402 occurrences)
ni siquiera (2 atoms, 392 occurrences)
yo también (2 atoms, 378 occurrences)
del mundo (2 atoms, 374 occurrences)
un momento (2 atoms, 373 occurrences)
volver a (2 atoms, 370 occurrences)
puede que (2 atoms, 365 occurrences)
de verdad (2 atoms, 364 occurrences)
de lo que (3 atoms, 355 occurrences)
lo mismo (2 atoms, 350 occurrences)
antes de que (3 atoms, 349 occurrences)
hasta que (2 atoms, 340 occurrences)
por aquí (2 atoms, 339 occurrences)
por supuesto (2 atoms, 317 occurrences)
al menos (2 atoms, 312 occurrences)
tu madre (2 atoms, 292 occurrences)
ahora mismo (2 atoms, 292 occurrences)
todo el día (3 atoms, 287 occurrences)
una de (2 atoms, 274 occurrences)
cerca de (2 atoms, 271 occurrences)
acerca de (2 atoms, 258 occurrences)
lo mejor (2 atoms, 256 occurrences)
poco de (2 atoms, 252 occurrences)
gusta el (2 atoms, 249 occurrences)
por mí (2 atoms, 245 occurrences)
todo el tiempo (3 atoms, 242 occurrences)
acaba de (2 atoms, 240 occurrences)
desde que (2 atoms, 240 occurrences)
en realidad (2 atoms, 238 occurrences)
hablar de (2 atoms, 232 occurrences)
en serio (2 atoms, 227 occurrences)
detrás de (2 atoms, 220 occurrences)
nos vemos (2 atoms, 217 occurrences)
un poco más (3 atoms, 216 occurrences)
al final (2 atoms, 214 occurrences)
gusta la (2 atoms, 213 occurrences)
cualquier cosa (2 atoms, 212 occurrences)
fuera de (2 atoms, 212 occurrences)
estar en (2 atoms, 210 occurrences)
que sí (2 atoms, 209 occurrences)
a punto de (3 atoms, 204 occurrences)
salir de (2 atoms, 200 occurrences)
de vuelta (2 atoms, 197 occurrences)
buenas noches (2 atoms, 197 occurrences)
de hecho (2 atoms, 195 occurrences)
en cuanto (2 atoms, 195 occurrences)
por qué (2 atoms, 193 occurrences)
de repente (2 atoms, 191 occurrences)
quiero decir (2 atoms, 185 occurrences)
